	true_y	pred_y
400	1,0	True
401	1,0	True
402	0,0	False
403	1,0	True
404	0,0	False
405	1,0	True
406	1,0	True
407	1,0	False
408	1,0	True
409	1,0	True
410	1,0	True
411	1,0	True
412	0,0	True
413	1,0	True
414	1,0	True
415	1,0	True
416	0,0	True
417	0,0	False
418	0,0	False
419	1,0	True
420	0,0	True
421	1,0	True
422	0,0	False
423	1,0	True
424	1,0	True
425	1,0	True
426	1,0	False
427	1,0	True
428	1,0	True
429	1,0	True
430	1,0	True
431	0,0	True
432	1,0	True
433	1,0	True
434	0,0	False
435	1,0	True
436	1,0	True
437	0,0	False
438	0,0	False
439	0,0	True
440	1,0	True
441	0,0	False
442	1,0	True
443	1,0	True
444	0,0	False
445	1,0	True
446	0,0	True
447	1,0	True
448	0,0	True
449	1,0	True
450	1,0	True
451	1,0	True
452	1,0	True
453	0,0	True
454	1,0	True
455	1,0	True
456	0,0	True
457	1,0	False
458	1,0	True
459	0,0	True
460	1,0	True
461	1,0	False
462	0,0	True
463	0,0	True
464	0,0	False
465	0,0	True
466	1,0	True
467	0,0	True
468	0,0	True
469	0,0	False
470	1,0	True
471	1,0	True
472	1,0	True
473	0,0	True
474	0,0	False
475	1,0	True
476	0,0	True
477	1,0	True
478	1,0	True
479	1,0	True
480	1,0	True
481	1,0	True
482	1,0	False
483	1,0	True
484	1,0	True
485	1,0	True
486	1,0	True
487	0,0	True
488	1,0	True
489	0,0	True
490	0,0	True
491	0,0	False
492	1,0	True
493	1,0	True
494	1,0	True
495	0,0	False
496	0,0	False
497	0,0	False
498	0,0	True
499	0,0	True
500	1,0	False
501	1,0	True
502	0,0	True
503	1,0	True
504	0,0	True
505	1,0	True
506	1,0	True
507	1,0	True
508	1,0	True
509	1,0	True
510	1,0	True
511	1,0	False
512	0,0	False
513	1,0	True
514	1,0	False
515	1,0	True
516	0,0	False
517	0,0	True
518	0,0	True
519	1,0	True
520	0,0	False
521	1,0	True
522	0,0	True
523	1,0	False
524	1,0	False
525	1,0	False
526	1,0	True
527	1,0	True
528	1,0	True
529	1,0	True
530	1,0	True
531	0,0	False
532	1,0	True
533	1,0	False
534	0,0	False
535	1,0	True
536	1,0	True
537	0,0	True
538	0,0	True
539	0,0	True
540	1,0	False
541	0,0	True
542	1,0	True
543	1,0	True
544	0,0	True
545	1,0	True
546	0,0	False
547	1,0	True
548	0,0	True
549	1,0	True
550	1,0	False
551	1,0	True
552	1,0	True
553	0,0	False
554	1,0	True
555	1,0	True
556	0,0	False
557	1,0	False
558	1,0	True
559	0,0	True
560	1,0	True
561	1,0	False
562	0,0	False
563	0,0	True
564	0,0	True
565	0,0	False
566	1,0	True
567	0,0	False
568	0,0	True
569	0,0	True
570	1,0	False
571	1,0	False
572	1,0	True
573	0,0	False
574	0,0	False
575	1,0	True
576	0,0	False
577	1,0	True
578	1,0	True
579	1,0	True
580	1,0	False
581	1,0	True
582	1,0	True
583	1,0	True
584	1,0	True
585	1,0	False
586	1,0	True
587	0,0	False
588	1,0	True
589	0,0	False
590	0,0	False
591	0,0	True
592	1,0	True
593	1,0	True
594	1,0	False
595	0,0	False
596	0,0	True
597	0,0	False
598	0,0	True
599	0,0	False
600	1,0	True
601	1,0	True
602	0,0	False
603	1,0	True
604	0,0	False
605	1,0	True
606	1,0	True
607	1,0	True
608	1,0	True
609	1,0	False
610	1,0	True
611	1,0	True
612	0,0	True
613	1,0	True
614	1,0	True
615	1,0	False
616	0,0	True
617	0,0	True
618	0,0	True
619	1,0	True
620	0,0	True
621	1,0	True
622	0,0	False
623	1,0	True
624	1,0	True
625	1,0	True
626	1,0	True
627	1,0	True
628	1,0	True
629	1,0	True
630	1,0	True
631	0,0	True
632	1,0	True
633	1,0	True
634	0,0	True
635	1,0	False
636	1,0	True
637	0,0	False
638	0,0	False
639	0,0	True
640	1,0	True
641	0,0	True
642	1,0	True
643	1,0	True
644	0,0	True
645	1,0	True
646	0,0	True
647	1,0	True
648	0,0	False
649	1,0	False
650	1,0	True
651	1,0	True
652	1,0	True
653	0,0	False
654	1,0	True
655	1,0	True
656	0,0	True
657	1,0	True
658	1,0	True
659	0,0	False
660	1,0	True
661	1,0	True
662	0,0	True
663	0,0	False
664	0,0	True
665	0,0	True
666	1,0	True
667	0,0	True
668	0,0	False
669	0,0	True
670	1,0	True
671	1,0	True
672	1,0	True
673	0,0	True
674	0,0	True
675	1,0	True
676	0,0	True
677	1,0	False
678	1,0	True
679	1,0	True
680	1,0	True
681	1,0	True
682	1,0	True
683	1,0	True
684	1,0	True
685	1,0	True
686	1,0	True
687	0,0	False
688	1,0	True
689	0,0	True
690	0,0	True
691	0,0	False
692	1,0	True
693	1,0	True
694	1,0	True
695	0,0	True
696	0,0	False
697	0,0	True
698	0,0	True
699	0,0	True
700	1,0	True
701	1,0	True
702	0,0	False
703	1,0	True
704	0,0	False
705	1,0	True
706	1,0	True
707	1,0	False
708	1,0	True
709	1,0	True
710	1,0	True
711	1,0	False
712	0,0	True
713	1,0	True
714	1,0	False
715	1,0	True
716	0,0	True
717	0,0	False
718	0,0	True
719	1,0	True
720	0,0	True
721	1,0	True
722	0,0	False
723	1,0	True
724	1,0	False
725	1,0	True
726	1,0	False
727	1,0	True
728	1,0	True
729	1,0	True
730	1,0	True
731	0,0	False
732	1,0	True
733	1,0	True
734	0,0	False
735	1,0	True
736	1,0	True
737	0,0	True
738	0,0	False
739	0,0	True
740	1,0	True
741	0,0	True
742	1,0	True
743	1,0	True
744	0,0	False
745	1,0	True
746	0,0	True
747	1,0	True
748	0,0	True
749	1,0	True
750	1,0	True
751	1,0	True
752	1,0	True
753	0,0	False
754	1,0	True
755	1,0	True
756	0,0	False
757	1,0	False
758	1,0	True
759	0,0	True
760	1,0	True
761	1,0	False
762	0,0	False
763	0,0	True
764	0,0	True
765	0,0	True
766	1,0	True
767	0,0	False
768	0,0	True
769	0,0	True
770	1,0	True
